Date,SA-T,ZN-T
5/3/2021,20.70199828,22.91845539
5/4/2021,20.45431597,22.40993266
5/5/2021,19.92455997,21.99473906
5/6/2021,20.27552129,22.09311869
5/7/2021,20.01191582,22.10574495
5/8/2021,20.74932176,21.51567761
5/9/2021,21.79312668,21.75547138
5/10/2021,19.80653771,21.92971381
5/11/2021,20.15468115,21.92739899
5/12/2021,20.0688118,22.01483586
5/13/2021,20.21513991,22.04250842
5/14/2021,20.28214653,22.02325337
5/15/2021,21.11512858,21.62836701
5/16/2021,22.2863831,22.12773569
5/17/2021,20.94058765,22.29377104
5/18/2021,20.71066389,22.20949074
5/19/2021,20.72069637,22.40467172
5/20/2021,20.65038717,22.5385101
5/21/2021,20.60665428,22.52430556
5/22/2021,22.46397307,23.12184343
5/23/2021,24.05585098,24.04840067
5/24/2021,21.13195914,22.97306397
5/25/2021,20.63380815,22.72843013
5/26/2021,20.60419196,22.58670034
5/27/2021,20.61156741,21.91771886
5/28/2021,20.20621044,21.10448232
5/29/2021,20.74007053,20.99779041
5/30/2021,21.38985504,21.08143939
5/31/2021,22.02884933,21.87289562
6/1/2021,20.14255892,21.98316498
6/2/2021,21.53056948,22.68981482
6/3/2021,20.48768448,22.56670876
6/4/2021,19.79820542,22.71517256
6/5/2021,22.00278093,23.29292929
6/6/2021,23.55126452,23.50578704
6/7/2021,20.92829928,22.72748317
6/8/2021,20.29265699,22.60669192
6/9/2021,20.61563847,22.81460438
6/10/2021,20.55010613,22.84080387
6/11/2021,20.53161946,22.97685185
6/12/2021,22.04744048,23.39551768
6/13/2021,24.11595437,24.02967172
6/14/2021,19.95367621,22.84227693
6/15/2021,20.25866474,22.55545034
6/16/2021,20.38483232,22.25052609
6/17/2021,20.32886771,22.11510943
6/18/2021,20.41712437,22.50789142
6/19/2021,22.20296282,23.14067761
6/20/2021,21.69441249,23.05208333
6/21/2021,19.55459607,22.16782407
6/22/2021,20.44054812,21.57417929
6/23/2021,20.90996651,21.93108165
6/24/2021,20.56578876,22.09364478
6/25/2021,20.84146913,22.09448653
6/26/2021,21.82891709,22.50757576
